劲松  富顿中心D座 1室1厅,https://www.danke.com/room/197567580.html,建筑面积约48㎡,2楼,10号线,劲松站,150米,https://public.danke.com.cn/public-20181228-FvpK0VIHFnP0CPAhxdiWgILBFzKH?imageView2/1/w/380/h/285
望京南  蓝色家园 1室1厅,https://www.danke.com/room/808558753.html,建筑面积约71㎡,3楼,12号线,高家园站,900米,https://public.danke.com.cn/public-20190122-FmOSaCEMMi2-plPab5EVatxoOnmw?imageView2/1/w/380/h/285
潘家园  百环花园 1室1厅,https://www.danke.com/room/2036927550.html,建筑面积约62㎡,12楼,10号线,潘家园站,250米,https://public.danke.com.cn/public-20181209-FiVEhr9RCOLkMgg7kFq0Umpaqh1o?imageView2/1/w/380/h/285
潘家园  松榆西里 1室1厅,https://www.danke.com/room/1076759602.html,建筑面积约62㎡,18楼,10号线,潘家园站,650米,https://public.danke.com.cn/public-20181209-FuVxtcrQqoXqYZ_j0v6R_Ikq9eNN?imageView2/1/w/380/h/285
丽泽商务区  金泰城Mini 1室1厅,https://www.danke.com/room/1699997679.html,建筑面积约41㎡,1楼,7号线,16号线,达官营站,2550米,https://public.danke.com.cn/public-20190517-FkEts7D7Rxqfwh4hxgwM9Q0s10Ud?imageView2/1/w/380/h/285
八宝山  远洋山水 1室1厅,https://www.danke.com/room/657231954.html,建筑面积约56㎡,21楼,1号线,八宝山站,650米,https://public.danke.com.cn/public-20180425-FsDka8dqPh0G1Y8tEk9j7mwaENxc?imageView2/1/w/380/h/285
临河里  小街之春 1室1厅,https://www.danke.com/room/451615313.html,建筑面积约57㎡,4楼,八通线,临河里站,850米,https://public.danke.com.cn/public-20181224-Fg62Ur6cnmcwE1JZ8stSQFVnc1wI?imageView2/1/w/380/h/285
望京  望京西园三区 1室1厅,https://www.danke.com/room/353372648.html,建筑面积约82㎡,11楼,14号线东段,15号线,望京站,600米,https://public.danke.com.cn/public-20190323-FtLPP4ek8PMmHM8cTe72ExOb8xLx?imageView2/1/w/380/h/285
北运河西  京贸中心 1室1厅,https://www.danke.com/room/365861979.html,建筑面积约68㎡,15楼,6号线,北运河西站,1050米,https://public.danke.com.cn/public-20180816-Fk24-7Pi-tYpjg5qPjxcEcm6opSh?imageView2/1/w/380/h/285
梨园  云景豪庭 1室1厅,https://www.danke.com/room/1833597492.html,建筑面积约50㎡,13楼,八通线,梨园站,600米,https://public.danke.com.cn/public-20190510-FhcZo-t7wCT7QcBDjhy07o7lGsbG?imageView2/1/w/380/h/285
梨园  园景东区 1室1厅,https://www.danke.com/room/1785594666.html,建筑面积约49㎡,3楼,八通线,梨园站,150米,https://public.danke.com.cn/public-20181017-Fn5mGis_V5t7_43b_qlOm2_Z321H?imageView2/1/w/380/h/285
广渠门内  富贵园三区 1室1厅,https://www.danke.com/room/2101666877.html,建筑面积约55㎡,9楼,7号线,广渠门内站,200米,https://public.danke.com.cn/public-20181222-Fmjar_rJs676s7u_tCjO9YuvVojs?imageView2/1/w/380/h/285
同济南路  兴华嘉园高层 1室1厅,https://www.danke.com/room/1489772449.html,建筑面积约49㎡,4楼,亦庄线,同济南路站,2350米,https://public.danke.com.cn/public-20181116-FpfW5r5e_sCLT_I2l6PwUB8TDI0s?imageView2/1/w/380/h/285
常营  北辰福第中区 1室1厅,https://www.danke.com/room/517108305.html,建筑面积约45㎡,18楼,6号线,常营站,450米,https://public.danke.com.cn/public-20171226-Fojyk3aSBIMTWkEqC5aNRr0krFSL?imageView2/1/w/380/h/285
十里堡  八里庄西里 2室1厅,https://www.danke.com/room/2127983473.html,建筑面积约55㎡,1楼,6号线,十里堡站,900米,https://public.danke.com.cn/public-20180314-FhUF7AEY8H31uFxo0RPSannxjsSn?imageView2/1/w/380/h/285
达官营  朗琴园 1室1厅,https://www.danke.com/room/1524388128.html,建筑面积约58㎡,4楼,7号线,16号线,达官营站,450米,https://public.danke.com.cn/public-20190615-FgXUbQEhtrO5KiX_BtEe9YZI51kc?imageView2/1/w/380/h/285
