算法量化工程师2799,OPPO广东移动通信有限公司,30K-50K,硕士
解决方案经理,中国联合网络通信有限公司上海市分公司,15K-20K,本科
幕墙工程师,深圳摩墅狮人工智能有限公司,5K-9K,大专
高级数据分析师-子公司ZRobot,京东数字科技控股有限公司  ,25K-40K,本科
课程顾问/课程规划/高薪,上海傲梦网络科技有限公司,15K-20K,大专
文本数据标注专员,上海宏原信息科技有限公司,4K-6K,大专
销售经理（上海）,优地网络有限公司,10K-15K,大专
前端开发工程师,上海焕一生物科技有限公司,20K-40K,本科
产品经理,深圳市法本信息技术股份有限公司,15K-25K,本科
PBL课程研发,上海优必杰教育科技有限公司,7K-12K,本科
医学总监,上海焕一生物科技有限公司,20K-38K,硕士
20K销售顾问（少儿编程）,上海傲梦网络科技有限公司,11K-20K,大专
客户总监（AD）-SH,北京深演智能科技股份有限公司,25K-40K,本科
软件交付项目经理,深圳市法本信息技术股份有限公司,20K-30K,本科
前端工程师,上海布眼人工智能科技有限公司,8K-12K,本科
AI高级研发工程师,久瓴(上海)智能科技有限公司,20K-30K,本科
电气工程师,上海布眼人工智能科技有限公司,4K-6K,大专
项目经理,同业云(上海)人工智能科技有限公司,15K-20K,大专
大客户销售,深圳摩墅狮人工智能有限公司,8K-15K,大专
设计院推广专员,深圳摩墅狮人工智能有限公司,5K-8K,大专
机器学习工程师,上海数享信息技术有限公司,20K-30K,硕士
产品经理（智能内容）,上海恒生聚源数据服务有限公司,10K-15K,本科
售前技术工程师,上海迈外迪网络科技有限公司北京分公司,10K-20K,本科
编程课程顾问-央视认证销售,上海傲梦网络科技有限公司,11K-20K,大专
c/c++软件工程师（AGV）,上海飒智智能科技有限公司,8K-15K,本科
日企财务行政助理(编号107137) 日语必须,上海艾杰飞人力资源有限公司,5.6K-7.1K,大专
金融销售经理,北京知因智慧数据科技有限公司,15K-25K,本科
麦当劳—平台架构师,北京外企德科人力资源服务上海有限公司,30K-50K,本科
技术支持工程师（售前/实施）,北京捷通华声科技股份有限公司,10K-20K,本科
AI开发工程师,瞬联讯通科技(北京)有限公司,9K-18K,本科
运维工程师,北京捷通华声科技股份有限公司,10K-20K,本科
标注专员,深圳市法本信息技术股份有限公司,6K-8K,大专
算法工程师（校园招聘）,上海微盟企业发展有限公司,16K-18K,本科
java开发工程师,中科软科技股份有限公司,8K-12K,本科
标注专员,深圳市法本信息技术股份有限公司,4K-6K,大专
项目经理（大数据、云计算）,深圳市法本信息技术股份有限公司,18K-25K,本科
企划助理/销售助理 知名金融科技平台,北京外企德科人力资源服务上海有限公司,6K-8K,大专
系统工程师（上海）,仲利国际租赁有限公司,5K-8K,本科
客户经理（AM）-SH,北京深演智能科技股份有限公司,15K-25K,本科
linux测试工程师,东软云科技有限公司,10K-15K,本科
日企采购担当(编号115079) 日语英语必须,上海艾杰飞人力资源有限公司,10K-15K,硕士
策略运营(J11720),上海钧正网络科技有限公司,15K-30K,本科
急：python开发,中软国际科技服务有限公司,薪资面议,大专
实施工程师,北京捷通华声科技股份有限公司,10K-20K,本科
AI Lab研究员,北京字节跳动科技有限公司,15K-30K,硕士
AI Lab实习生 - 自然语言处理,北京字节跳动科技有限公司,6K-10K,本科
AI-Lab语音算法工程师 - 音频内容理解与AI创作方向,北京字节跳动科技有限公司,25K-50K,本科
高级软件开发工程师（上海）(J11642),北京华宇信息技术有限公司,10K-20K,硕士
AI算法工程师,上海天华建筑设计有限公司,11K-22K,本科
日企市场企划担当(编号111492) 日语必须,上海艾杰飞人力资源有限公司,8.1K-9.3K,大专
音频AI优化工程师 - 互娱研发,北京字节跳动科技有限公司,30K-60K,本科
Lab Operations Manager,中软国际科技服务有限公司,薪资面议,本科
机器学习架构师3923,OPPO广东移动通信有限公司,30K-50K,本科
高薪销售-课程顾问15K到30K,上海傲梦网络科技有限公司,6K-9K,大专
智能汽车电子研发总监（车联网+AI车载电子）,昆山英莱特电子科技有限公司,100K-150K,硕士
金融行业+客户专员+底薪4800,上海屿图信息科技中心,10K-15K,大专
金融销售 客户专员 月薪12000+双休+6金 ,敬悦商务（上海总部）,10K-15K,大专
产品总助,久瓴(上海)智能科技有限公司,15K-25K,本科
